sample_id	time	treatment
ERR10802882	10_days	cathemerium
ERR10802875	10_days	cathemerium
ERR10802879	10_days	cathemerium
ERR10802883	10_days	cathemerium
ERR10802878	10_days	control
ERR10802884	10_days	control
ERR10802877	10_days	control
ERR10802881	10_days	control
ERR10802876	10_days	relictum
ERR10802880	10_days	relictum
ERR10802885	10_days	relictum
ERR10802886	10_days	relictum
ERR10802864	24_h	cathemerium
ERR10802867	24_h	cathemerium
ERR10802870	24_h	cathemerium
ERR10802866	24_h	control
ERR10802869	24_h	control
ERR10802863	24_h	control
ERR10802871	24_h	relictum
ERR10802874	24_h	relictum
ERR10802865	24_h	relictum
ERR10802868	24_h	relictum
